Historical Date,AAPL US Equity,MSFT US Equity
13/06/2007,4.196,30.39
14/06/2007,4.241,30.52
15/06/2007,4.304,30.49
18/06/2007,4.468,30.51
19/06/2007,4.416,30.46
20/06/2007,4.341,30.01
21/06/2007,4.425,30.22
22/06/2007,4.393,29.49
25/06/2007,4.369,29.49
26/06/2007,4.273,29.52
27/06/2007,4.353,29.87
28/06/2007,4.306,29.83
29/06/2007,4.359,29.47
02/07/2007,4.331,29.74
03/07/2007,4.542,30.02
05/07/2007,4.741,29.99
06/07/2007,4.725,29.97
09/07/2007,4.655,29.87
10/07/2007,4.727,29.33
11/07/2007,4.728,29.49
12/07/2007,4.788,30.07
13/07/2007,4.919,29.82
16/07/2007,4.932,30.03
17/07/2007,4.961,30.7799
18/07/2007,4.933,30.92
19/07/2007,5,31.51
20/07/2007,5.134,31.16
23/07/2007,5.132,31.19
24/07/2007,4.817,30.8
25/07/2007,4.902,30.71
26/07/2007,5.214,29.98
27/07/2007,5.138,29.3901
30/07/2007,5.051,29.4
31/07/2007,4.706,28.99
01/08/2007,4.821,29.3
02/08/2007,4.875,29.52
03/08/2007,4.709,28.9601
06/08/2007,4.83,29.54
07/08/2007,4.823,29.55
08/08/2007,4.786,30
09/08/2007,4.514,28.92
10/08/2007,4.464,28.71
13/08/2007,4.564,28.63
14/08/2007,4.43,28.27
15/08/2007,4.282,28.1
16/08/2007,4.18,27.81
17/08/2007,4.359,28.25
20/08/2007,4.365,28.26
21/08/2007,4.556,28.07
22/08/2007,4.733,28.22
23/08/2007,4.681,28.3
24/08/2007,4.832,28.81
27/08/2007,4.723,28.49
28/08/2007,4.529,27.93
29/08/2007,4.789,28.59
30/08/2007,4.866,28.45
31/08/2007,4.946,28.73
04/09/2007,5.149,28.81
05/09/2007,4.884,28.48
06/09/2007,4.822,28.91
07/09/2007,4.706,28.44
10/09/2007,4.883,28.48
11/09/2007,4.839,28.93
12/09/2007,4.888,28.93
13/09/2007,4.9,29.16
14/09/2007,4.958,29.04
17/09/2007,4.943,28.725
18/09/2007,5.033,28.93
19/09/2007,5.027,28.67
20/09/2007,5.011,28.4201
21/09/2007,5.148,28.6499
24/09/2007,5.296,29.08
25/09/2007,5.471,29.5599
26/09/2007,5.456,29.5
27/09/2007,5.518,29.49
28/09/2007,5.481,29.46
01/10/2007,5.584,29.7701
02/10/2007,5.659,29.7
03/10/2007,5.64,29.4525
04/10/2007,5.58,29.71
05/10/2007,5.766,29.84
08/10/2007,5.997,29.84
09/10/2007,5.995,30.0999
10/10/2007,5.957,30.23
11/10/2007,5.794,29.91
12/10/2007,5.973,30.17
15/10/2007,5.964,30.04
16/10/2007,6.056,30.32
17/10/2007,6.17,31.08
18/10/2007,6.196,31.16
19/10/2007,6.086,30.17
22/10/2007,6.227,30.51
23/10/2007,6.649,30.9
24/10/2007,6.64,31.25
25/10/2007,6.528,31.99
26/10/2007,6.596,35.03
29/10/2007,6.61,34.57
30/10/2007,6.679,35.57
31/10/2007,6.784,36.81
01/11/2007,6.694,37.06
02/11/2007,6.71,37.06
05/11/2007,6.649,36.73
06/11/2007,6.85,36.41
07/11/2007,6.654,35.52
08/11/2007,6.267,34.74
09/11/2007,5.906,33.73
12/11/2007,5.491,33.38
13/11/2007,6.07,34.46
14/11/2007,5.933,33.93
15/11/2007,5.868,33.76
16/11/2007,5.943,34.09
19/11/2007,5.855,33.96
20/11/2007,6.03,34.58
21/11/2007,6.016,34.23
23/11/2007,6.126,34.11
26/11/2007,6.162,32.97
27/11/2007,6.243,33.06
28/11/2007,6.436,33.7
29/11/2007,6.582,33.59
30/11/2007,6.508,33.6
03/12/2007,6.388,32.92
04/12/2007,6.422,32.77
05/12/2007,6.625,34.15
06/12/2007,6.784,34.55
07/12/2007,6.939,34.53
10/12/2007,6.936,34.76
11/12/2007,6.734,34.1
12/12/2007,6.816,34.47
13/12/2007,6.851,35.22
14/12/2007,6.8,35.31
17/12/2007,6.586,34.39
18/12/2007,6.535,34.74
19/12/2007,6.54,34.79
20/12/2007,6.686,35.52
21/12/2007,6.925,36.06
24/12/2007,7.1,36.58
26/12/2007,7.105,36.61
27/12/2007,7.092,35.97
28/12/2007,7.137,36.12
31/12/2007,7.074,35.6
02/01/2008,6.959,35.22
03/01/2008,6.962,35.37
04/01/2008,6.43,34.38
07/01/2008,6.344,34.61
08/01/2008,6.116,33.45
09/01/2008,6.407,34.44
10/01/2008,6.358,34.33
11/01/2008,6.168,33.91
14/01/2008,6.385,34.39
15/01/2008,6.037,34
16/01/2008,5.701,33.23
17/01/2008,5.746,33.11
18/01/2008,5.763,33.01
22/01/2008,5.559,31.99
23/01/2008,4.967,31.93
24/01/2008,4.843,33.25
25/01/2008,4.643,32.94
28/01/2008,4.643,32.72
29/01/2008,4.698,32.6
30/01/2008,4.721,32.2
31/01/2008,4.834,32.6
